Hotels,Ratings,Distance,District,Price,Link,Star,Descriptions
Rest Valencia,"7,6",a 1 km del centro,,€ 293,https://www.booking.com/hotel/es/rest-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=989989903_371674916_2_0_0&highlighted_blocks=989989903_371674916_2_0_0&matching_block_id=989989903_371674916_2_0_0&sr_pri_blocks=989989903_371674916_2_0_0__29300&from=searchresults#hotelTmpl,1 de 5,"Rest Valencia está en Valencia, a menos de 1 km de Church of Saint Nicolás y a 15 min a pie de Basílica de la Virgen de los Desamparados, y ofrece alojamiento con wifi gratis y zona de estar.

También hay una cocina americana equipada con nevera, microondas y fogones en algunas unidades

Cerca del alojamiento hay puntos de interés como Museo Nacional de Cerámica y Artes Santuarias González Martí, Estación de tren del Norte y Jardín Botánico de Valencia. El aeropuerto (Aeropuerto de Valencia) está a 8 km."
Loft Urbano,"6,9","a 1,5 km del centro",,€ 216,https://www.booking.com/hotel/es/loft-urbano.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=1144166401_387264048_2_0_0&highlighted_blocks=1144166401_387264048_2_0_0&matching_block_id=1144166401_387264048_2_0_0&sr_pri_blocks=1144166401_387264048_2_0_0__21600&from=searchresults#hotelTmpl,3 de 5,"Loft Urbano se encuentra en el barrio de Quatre Carreres, en Valencia, cerca de Estación de tren del Norte. Dispone de wifi gratis y lavadora. Este apartamento está a 2,9 km de Jardines de Monforte y a 3 km de Basílica de la Virgen de los Desamparados.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina con microondas y fogones. Hay toallas y ropa de cama en el apartamento.

Cerca del alojamiento hay puntos de interés como Jardín del Turia, Museo Nacional de Cerámica y Artes Santuarias González Martí y Oceanográfico. El aeropuerto más cercano (Aeropuerto de Valencia) está a 10 km del alojamiento."
Pensión Moratin,"8,4",a 150 m del centro,,€ 286,https://www.booking.com/hotel/es/hostal-moratin.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=32601511_269319233_0_0_0&highlighted_blocks=32601511_269319233_0_0_0&matching_block_id=32601511_269319233_0_0_0&sr_pri_blocks=32601511_269319233_0_0_0__28600&from=searchresults#hotelTmpl,3 de 5,"El Pensión Moratin se encuentra a 80 metros de la plaza principal de Valencia, la plaza del Ayuntamiento, y ofrece alojamiento con WiFi gratuita.

Todas las habitaciones cuentan con ventilador. Algunas habitaciones incluyen ducha y lavabo y tienen acceso a un aseo compartido. También hay habitaciones con baño privado. Se proporcionan toallas y ropa de cama.

El Moratin es un establecimiento de gestión familiar situado a 5 minutos a pie de la estación de tren de Valencia Nord y de la estación de metro Xàtiva, que ofrece conexiones directas con el aeropuerto. El establecimiento goza de una ubicación céntrica, a 5 minutos a pie de numerosas cafeterías, bares y restaurantes.

El alojamiento se halla a 550 metros de la catedral de Valencia y a 2,5 km de la Ciudad de las Artes y las Ciencias. El Pensión Moratin está ubicado a 9 km del aeropuerto de Valencia, el más cercano."
CAPSULE INN VALENCIA,"8,0","a 0,9 km del centro",,€ 224,https://www.booking.com/hotel/es/capsule-inn-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=1065293701_384543851_2_0_0&highlighted_blocks=1065293701_384543851_2_0_0&matching_block_id=1065293701_384543851_2_0_0&sr_pri_blocks=1065293701_384543851_2_0_0__22401&from=searchresults#hotelTmpl,3 de 5,"CAPSULE INN VALENCIA está muy bien situado en el barrio de Extramurs, Valencia, a 1,7 km de Church of Saint Nicolás, a 2,8 km de Jardín del Turia y a 17 min a pie de Museo Nacional de Cerámica y Artes Santuarias González Martí. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a menos de 1 km de Estación de tren del Norte.

Las habitaciones incluyen aire acondicionado, lavavajillas, microondas, cafetera, ducha, artículos de aseo gratuitos y escritorio. Todas las habitaciones incluyen baño compartido, secador de pelo y ropa de cama.

Basílica de la Virgen de los Desamparados está a 1,8 km del alojamiento, y Jardines de Monforte está a 3,4 km. El aeropuerto más cercano (Aeropuerto de Valencia) está a 8 km del alojamiento."
Pio XII Apartments Valencia,"7,5","a 1,8 km del centro",,€ 451,https://www.booking.com/hotel/es/pio-xii-apartments-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=40208008_273124189_0_0_0&highlighted_blocks=40208008_273124189_0_0_0&matching_block_id=40208008_273124189_0_0_0&sr_pri_blocks=40208008_273124189_0_0_0__45135&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,2 de 5,"El Pio XII Apartments Valencia se encuentra a 2 minutos a pie del Jardín del Túria y de la estación de metro Túria y ofrece apartamentos decorados con elegancia en estilo moderno con balcón y WiFi gratuita. En las inmediaciones hay varias tiendas, bares, restaurantes y un centro comercial.

Los apartamentos del Pio XII Apartments Valencia presentan una decoración sencilla en tonos vivos, son amplios y constan de aire acondicionado y zona de estar con sofá cama y TV de pantalla plana. También incluyen cocina equipada con nevera, microondas, horno y cafetera. Se proporcionan cunas y tronas bajo petición.

El desayuno se sirve en varias cafeterías situadas a 2 minutos a pie.

El alojamiento está situado a 2 km (a 15 minutos en metro o autobús) de la catedral y del centro histórico de Valencia. La Ciudad de las Artes y las Ciencias se halla a 8 paradas de la estación de metro Túria."
COOL LOFTS center valencia,"8,8","a 0,8 km del centro",,€ 407,https://www.booking.com/hotel/es/cool-lofs-center-valencia-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=784670206_338820692_2_0_0&highlighted_blocks=784670206_338820692_2_0_0&matching_block_id=784670206_338820692_2_0_0&sr_pri_blocks=784670206_338820692_2_0_0__40700&from=searchresults#hotelTmpl,3 de 5,"COOL LOFTS center valencia, dispone de wifi gratis, se encuentra en Valencia, a 13 min a pie de Basílica de la Virgen de los Desamparados y a 2,6 km de Jardines de Monforte. El alojamiento está a unos 1,9 km de Jardín del Turia, a 12 min a pie de Museo Nacional de Cerámica y Artes Santuarias González Martí y a 1,2 km de Estación de tren del Norte. Este alojamiento hipoalergénico está a 8 min a pie de Church of Saint Nicolás.

Todas las habitaciones están equipadas con aire acondicionado, nevera, microondas, cafetera, ducha, artículos de aseo gratuitos y armario. Las habitaciones tienen baño privado, secador de pelo y ropa de cama.

Bioparc Valencia está a 4,8 km del alojamiento, y Puerto de Valencia está a 6,2 km. El aeropuerto (Aeropuerto de Valencia) está a 8 km."
Hotel RH Sorolla Centro,"8,8",a 200 m del centro,,€ 703,https://www.booking.com/hotel/es/sorolla.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=9089623_347401057_0_2_0&highlighted_blocks=9089623_347401057_0_2_0&matching_block_id=9089623_347401057_0_2_0&sr_pri_blocks=9089623_347401057_0_2_0__70300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3 de 5,"Este hotel se encuentra en una calle peatonal, a 200 metros de la estación de tren de Valencia y a solo 50 metros de la plaza del Ayuntamiento. El establecimiento ofrece habitaciones modernas equipadas con aire acondicionado, TV vía satélite y WiFi gratuita.

La recepción del Sorolla está abierta las 24 horas y cuenta con servicio de alquiler de bicicletas y coches. También hay mostrador de información turística.

El establecimiento sirve un desayuno buffet a diario de 07:30 a 11:00. El hotel está situado a pocos pasos de numerosas tiendas.

El Sorolla Centro goza de una ubicación céntrica, a poca distancia a pie de numerosos lugares turísticos de Valencia. Asimismo, el establecimiento se halla a solo 200 metros de la estación de metro Xàtiva."
Mythic Valencia,"7,3","a 1,5 km del centro",,€ 558,https://www.booking.com/hotel/es/mythic-boutique.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=914390701_369114449_2_2_0&highlighted_blocks=914390701_369114449_2_2_0&matching_block_id=914390701_369114449_2_2_0&sr_pri_blocks=914390701_369114449_2_2_0__55800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3 de 5,"Mythic Valencia está muy bien situado en el barrio de La Saïdia, Valencia, a 16 min a pie de Jardines de Monforte, a 1,1 km de Church of Saint Nicolás y a menos de 1 km de Basílica de la Virgen de los Desamparados. Este alojamiento ofrece servicio de conserjería y mostrador de información turística, además de wifi gratis en todo el alojamiento. El cafetería es ideal para tomar algo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En Mythic Valencia, las habitaciones están equipadas con ropa de cama y toallas.

El alojamiento ofrece servicio de planchado, así como fax y fotocopiadora. En la recepción 24 horas, el personal habla árabe, inglés, español y francés.

Cerca del alojamiento hay puntos de interés como Jardín del Turia, Museo Nacional de Cerámica y Artes Santuarias González Martí y Torres de Serranos. El aeropuerto más cercano (Aeropuerto de Valencia) está a 9 km."
Habitación cerca del centro,"7,2","a 2,4 km del centro",,€ 196,https://www.booking.com/hotel/es/habitacion-cerca-del-centro.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=278958103_329770600_2_0_0&highlighted_blocks=278958103_329770600_2_0_0&matching_block_id=278958103_329770600_2_0_0&sr_pri_blocks=278958103_329770600_2_0_0__19630&from=searchresults#hotelTmpl,4 de 5,"Habitación cerca del centro está en Valencia y ofrece alojamiento con wifi gratis y TV de pantalla plana, además de terraza.

Las unidades tienen aire acondicionado y ofrecen zona de cocina totalmente equipada con zona de comedor, nevera, cafetera y microondas. Algunas unidades disponen de zona de estar y/o balcón.

La habitación en casa particular ofrece servicio de alquiler de bicicletas.

Jardines de Monforte está a 2,4 km del alojamiento, y Church of Saint Nicolás está a 2,9 km. El aeropuerto más cercano (Aeropuerto de Valencia) está a 13 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Bird House,"7,5","a 1,9 km del centro",,€ 298,https://www.booking.com/hotel/es/bird-house-valencia.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AqTL460GwAIB0gIkNThlYTZiYjctZjhhNC00ZWU1LTg0YmMtZWYwODAzMzRmZmFh2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-05-29&checkout=2024-06-02&dest_id=-406131&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=800b54e81c870195&srepoch=1706616299&all_sr_blocks=438827005_131395865_2_0_0&highlighted_blocks=438827005_131395865_2_0_0&matching_block_id=438827005_131395865_2_0_0&sr_pri_blocks=438827005_131395865_2_0_0__29780&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"Bird House está a 14 min a pie de Jardín del Turia y ofrece salón de uso común, además de alojamiento con terraza y wifi gratis. El alojamiento tiene aire acondicionado, zona de estar, zona de comedor, kitchen_type} o cocina y baño privado o compartido.

También hay nevera, horno y microondas, además de cafetera.

Puerto de Valencia está a 2,3 km del alojamiento, y Jardines de Monforte está a 1,8 km. El aeropuerto más cercano (Aeropuerto de Valencia) está a 12 km."
