Hotels,Ratings,Distance,District,Price,Link,Star,Descriptions
Barco El Marques,"8,3","a 5,5 km del centro",,€ 435,https://www.booking.com/hotel/es/barco-el-marques.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=821151801_344838853_2_0_0&highlighted_blocks=821151801_344838853_2_0_0&matching_block_id=821151801_344838853_2_0_0&sr_pri_blocks=821151801_344838853_2_0_0__43460&from=searchresults#hotelTmpl,4 de 5,"Barco El Marques es un alojamiento con terraza que está en Barcelona, a menos de 1 km de Platja del Fòrum, a 1,7 km de Platja de Llevant y a 1,7 km de Platja del Litoral. Este barco dispone de parking privado gratis, recepción 24 horas y wifi gratis.

Este barco con aire acondicionado consta de 2 dormitorios independientes, 2 baños y una sala de estar. Hay toallas y ropa de cama en el barco.

Port Olimpic está a 5,8 km del alojamiento, y Sagrada Familia está a 6,1 km. El aeropuerto (Aeropuerto de Barcelona - El Prat) está a 19 km."
Sonder Casa Luz,"8,4",a 450 m del centro,,€ 670,https://www.booking.com/hotel/es/casa-luz-barcelona.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=596194813_328913233_2_2_0&highlighted_blocks=596194813_328913233_2_2_0&matching_block_id=596194813_328913233_2_2_0&sr_pri_blocks=596194813_328913233_2_2_0__67004&nad_id=a54fbdc1-da51-4ac1-90ee-b0b1a700e17d_1&nad_cpc=0.88&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InZOa1hJVkluakhIQnQxeVBVRnBXWGJuRThhL0IxY1FEYkl6YTd6aDJyS3dkUDhkWk1QQXpIOUVWUW9uZDlnc21UNjR4NXI2a01FRDJ6dkVOaDV4QU9ERmtjWEd2M05CbVYxdjFNcEJXY2VubFc4bnp6NTdqaUJXcmxyL1hPZGREOUdkdWlVQzY0WEJ4T0I0RVB4OWtPTVhWcUo1Rk9IeGEzR3EyT3FrRjB5UmlYMVBxdDJoMk1uU2tFMVhmejFvVGpmMVR1MVVFYWI2RG8yb1kyV2RFOVgvVDFCdlQ0dUt5RGx5dVNHRVh5dllIcFBFMUQ2Y1RUMGM3amxIakRvMm9kcXpyVktaZXlOZ3hXK0ZMaW9xcjlmWUV1aGZ6eXFTSG1Xa1JXODJ4UkJtYWczWlJBVTM4MmRZZkE3WDhvOVUwMllQT1N4UldCWEFVRSt5M09jN0YyUy9hckJoK3RXdmx3ZE5GcHRjY000RHZ5WnNVUVloNStKZ0ROTDdER0t0emlJL0pYTFJ5NkYwTVBmMERMN1V4Zmp3eTlxM0YvdWZ1TDhnZ0JhNHl4R1dXUFBEVXJWc29mcEFjOU1ES1d2aFJWK1dQdGxEdGFuSWZQQ2R4WXdvZ0lLRklLbmVpSDI1Z054bERpc2I3aERzNkFIL09PcVFhY2dCUVJodFBSRmNrSGhDcXNnNGNucmgyYWlCWmE1dTJSd01kZWlWMEtQUUNGZTJ3SlQ3OE5YQ1VkNzhEbGZHZ2dETWZzbkdob3ZWWGt6STUvK1h4dHJLZzFDNGtSc3A0ZzgzK28rMTlkUTNvZDh1Y05DdFNGZGgvOE90MSt2Uy8vWDlNTHdPT05KMWplV2dNZU13WVlUbFlXUElNeTRUWDdFak5GQTlmWUhBL0Q2ZUlBMnNNL3o4cU0zaE5wRllWSHNNOGV3RXpTSENkZFFxY29VSlUrd2EyK3laVC9wT2ZrUGF4Y3VQNXBwYnNSR01wZ2N1L2RTUlZUWTBNYkFRSklwbUxiZUZZRlBubTRxemhNbGl0NWh5cDh5N2RiSmt6d3VjNDZieFo5QjRvbFlvNnI2SmI5WHFmQi9ESnhGVzNhVWxLQ255djkwVTg1VkVEMFBZNEY0elBNdSs0dmNCN2dZaG9pKzhpMHU1bk1qMTJQSmlNblFSUjVJdFk3cEl0U0NmLzFUUFU3VmtGbGdpTjhBSXZieSswdFZJT1pyanR0Z0hrYldvSTFzM0lUWmxQYkhFc1JualdobWdkYnplRmdENjNsL2pkdVBVNi9YcUFjc001cTBUYWx4dlFraFpRQTdjY3VTak9hS1hJbWY3K3RVZGpFTy84NDhmOUI5eUFWa3ZuMm5TM04vSUpKUis0NlVQeGVSbDdXeHQyRDBUQ0V3bUNHZzBEZUtQc1FqK0FHamY1QzNMQWg2RWhWOFRIMVhxS2ZyL0RxLzJOdWlpVmRaR0NJUThnVEVmVG40MEwvczBweWQrWTVtQmtFQjRPY3N3dDFhZlZhRHBkcmVaR212MTV5ZHVsdFcvanVkQ1VNeW5uUk5KMGl1SUpOc3lodDZPZGN2TGJ0dnYxdVZVZ1F3WjlyUGRTT3dwZU1FSGljeWd6T2g3cEM1bklvanAzVVhMbWJWd1BXeXRaMlJyeEZoSFFTY0dWcUZMREV1eEYxMUZEb3BrME83ZXp4TVBOZ0oxT0FESjc5WkZYN2pzZlBQcEwra3RmQkpqM0RjcnIxbTg2NTdVbSt4OFcwaW9Ca0tUVFM3T3RVbUxXcG5qOVdYRnQ2cTJFL3UraU41T09DYzUrLzkrVFpyMnV6UHEvS2p3TityczlJSE0zOUJlbXpVMnNKTXBxbzR0amsrWEE5dTZPNzRDY2pSS29qbk9wUXMxY1ZMZzJzcjRVNVdpeisrWXhMbW9mR1RUMzMxVy9XY1lzR2o3MHR1QmpYUGp0eTduUkRGN3ZvVzh2Uzl3TWVBOWptaERLMi85bzdzKzV4YVRqTVFjaTBMK1NnY1BUN211TW5RaTNpZnhyWld3anVFK3N4WFVsMDlsZDYyZXBEYW1xUUpmRWhXaktWbkxoOGZjMXZlcDFKSmFEcVozVnZhbC9DQVpxa0RTUHI3bTVuRWZpSE1SYkxPSW1USG8xamsrZmFSVGVTNkdhWUJWcFd6RThOMWNhdEp0eno4SG1VZ2VBdU5BUUNaY2Qvby9oZldCcjdUcDV5UWNkZ0NDeGtOQXgzL1VkOTk3NTdTUVQyY1B4NkVWUzRoeHJRZVhrUDlDZ3JMeW9YakRpcWJxYytwR3kzOC9ZR3hwQnlpTi9LenRKQ1A1NEpKWXJiYXB1ZFJXRjRiOXZkNjJEa3EwOFZSNGNXV0Q2UVRiN0xIMWh3dm0yZjAvNzNNcFNBRUhKbXpyYWFZV0tCVzV1WlBMNjVDa1U3cnBSQ0xMSzkxeDROaTJuWnYzTG1YSGpqZ0M1djdzMmNTOHBpdzIvSVVFZXFlSHd6NjhYeEw4NEVMMVRNdnFDeVRsSHNZVjFLQ015VkloZUd3c2M3Qi9sdGRkRFJBeGs2QUdZL0E4M2FiTFg3MVZkcGVubHRUTGM1ODhFejNKc2gvdEVFQVh1WjNsUWk5ZWpsSG1obFlwM2Q3ZjFFckwrd0JjNXZBOTR3dGFBcmpjUzYyVC9LNXNQamJFN3hwbzBGcHpmMTBmakR0NWtXOTBtWERXOSsrT1dYdkRCZXVqb1ZJdFJFQnVRRjl1ZGdJQlJCd21RdWJVakk3QXlxUk5wb3ZGcFJQUCtDcVlsN1c3ZFJudk1GckM1R0JYUXE0MjVaR0pPeEFPM2pudWVpbHJMMm54M2t3WC9KaENzQjkzMEZHd2MyK2d0V1U1QTJLcWN0bTAzSGJKRzFOdURjVVhIdWp1N0t1MUJvOHNVU0FxMlA3MnJ4UDU3WUVrdGNjWVFZOG1GMFFFSmNhOEt6cXVmVzBaWC90SGRUUmI0TUtmeFhYdzR0ZUlSeWlxZ0wxNTdKUEhISkg0QUJ3ME9PYnlSSFI1MHJLUzdqeEJWd2I0WEJPbDM5ajNmTXVFbDd4Y1o2RmVDZCtQZklIOEg0ZEFWNnBLTU5lL2R5ZlBRM2NMa1BYd0FoQW84ZzdKR0hndWpzUDBoekFIa1JyTktQekVIaXBBU2RVNFYyS1BMd2FXamRBUTBjb3ZITmhQTDJoWUpTZnF0THhzNEIvamxkZUNVYmplclA0bjFYY2c1UStCRG1lQjY1UUdrZzBDVGxMeUxkOVFVTys1bFBTTG5wUUI0d3hoRGNjUFJUM3M9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,3 de 5,"El Sonder Casa Luz se encuentra en Barcelona y ofrece terraza, desayuno y servicio de limpieza gratuito. Los huéspedes podrán visitar el cercano museo de arte contemporáneo MACBA, el mercado de La Boquería y la Rambla del Raval.

El establecimiento alberga un restaurante.

Entre los sitios de interés cercanos al hotel están el paseo de Gracia, la Casa Batlló y la plaza de Cataluña. El aeropuerto de El Prat, situado a 14 km del Sonder l Casa Luz, es el más cercano."
QUIET ROOM IN THE CITY CENTER,"8,7","a 1,9 km del centro",,€ 220,https://www.booking.com/hotel/es/quiet-room-in-the-city-center.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=1147421001_387583453_2_1_0&highlighted_blocks=1147421001_387583453_2_1_0&matching_block_id=1147421001_387583453_2_1_0&sr_pri_blocks=1147421001_387583453_2_1_0__22000&from=searchresults#hotelTmpl,3 de 5,QUIET ROOM IN THE CITY CENTER se encuentra en Barcelona.
Acta Voraport,"7,4","a 2,9 km del centro",,€ 432,https://www.booking.com/hotel/es/acta-voraport.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=543679302_217443299_0_2_0&highlighted_blocks=543679302_217443299_0_2_0&matching_block_id=543679302_217443299_0_2_0&sr_pri_blocks=543679302_217443299_0_2_0__43204&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"Acta Voraport está en Barcelona, a menos de 1 km de Platja del Bogatell, y dispone de alojamiento con piscina al aire libre, parking privado, terraza y restaurante. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece cajero automático, servicio de conserjería y servicio de organización de tours.

En el hotel, las habitaciones están equipadas con escritorio y TV de pantalla plana. Cada habitación está equipada con caja fuerte, y algunas también ofrecen vistas a la ciudad. En Acta Voraport, cada habitación cuenta con ropa de cama y toallas.

En el alojamiento se sirve todas las mañanas un desayuno buffet.

En la recepción 24 horas se hablan varios idiomas, como catalán, inglés, español y francés.

Cerca del alojamiento hay puntos de interés como Playa de la Mar Bella, Platja de la Nova Icària y Platja del Somorrostro. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 15 km."
Hotel Market,"8,5","a 1,2 km del centro",,€ 372,https://www.booking.com/hotel/es/market.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=9411113_88195485_0_0_0&highlighted_blocks=9411113_88195485_0_0_0&matching_block_id=9411113_88195485_0_0_0&sr_pri_blocks=9411113_88195485_0_0_0__37162&from=searchresults#hotelTmpl,4 de 5,"El Hotel Market se encuentra en Barcelona, junto al mercado de San Antonio y ​​a 10 minutos a pie del Museo de Arte Contemporáneo MACBA. El establecimiento ofrece habitaciones elegantes con ducha de efecto lluvia y WiFi gratuita. También alberga un restaurante muy frecuentado.

Las habitaciones del Market Hotel presentan una decoración moderna y constan de vigas de madera oscura, paredes blancas y ventanas grandes. Todas las habitaciones incluyen baño privado. Algunas habitaciones cuentan con balcón o terraza.

El establecimiento se halla a 15 minutos a pie de la plaza de España y de la plaza Catalunya. Asimismo, el hotel está ubicado a unos 200 metros de la estación de metro Sant Antoni y a solo 2 minutos a pie de la parada del autobús que proporciona conexiones con el aeropuerto.

El restaurante del Market Hotel está especializado en platos de arroz y sirve una selección de platos de la cocina catalana moderna en un ambiente elegante."
"Hotel Granados 83, a Member of Design Hotels","8,5","a 1,2 km del centro",,€ 575,https://www.booking.com/hotel/es/granados-83.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=9242501_120386905_0_2_0&highlighted_blocks=9242501_120386905_0_2_0&matching_block_id=9242501_120386905_0_2_0&sr_pri_blocks=9242501_120386905_0_2_0__57470&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El Granados 83, situado a 250 metros de la estación de metro Diagonal de Barcelona, alberga un gimnasio pequeño, una terraza en la azotea equipada con una piscina pequeña y un bar de cócteles. Las habitaciones presentan un diseño de estilo zen y cuentan con TV LCD.

Este hotel de diseño tiene una impresionante fachada de vidrio y piedra y combina detalles neoclásicos con elementos naturales e industriales. Además, se ha convertido en un icono de la ciudad y tiene el estatus de monumento protegido. Los interiores del hotel reflejan un estilo art déco excelente.

Las habitaciones del Granados 83 presentan una decoración elegante con elementos de madera, piel y vidrio. Disponen de minibar, albornoz y zapatillas.

A unos 5 minutos a pie del alojamiento, en la Rambla de Cataluña, se pueden encontrar numerosos bares de tapas.

El alojamiento queda a 400 metros del paseo de Gracia, donde se pueden visitar los famosos edificios La Pedrera y Casa Batlló de Gaudí.

El hotel cuenta con recepción 24 horas y wifi gratuita en todas las zonas. También se facilita aparcamiento por un suplemento."
NH Collection Barcelona Constanza,"8,5","a 2,8 km del centro",,€ 529,https://www.booking.com/hotel/es/nh-constanza.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=9385408_265080598_0_2_0&highlighted_blocks=9385408_265080598_0_2_0&matching_block_id=9385408_265080598_0_2_0&sr_pri_blocks=9385408_265080598_0_2_0__52921&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El NH Collection Barcelona Constanza ofrece habitaciones modernas con TV vía satélite y dispone de azotea con piscina y terraza. Se halla junto al centro comercial L’Illa de la avenida Diagonal, a 15 minutos a pie de la estación de tren de Sants.

Las habitaciones del establecimiento Constanza son modernas y elegantes. Disponen de cafetera Nespresso, TV de pantalla plana, carta de almohadas y baño con ducha de efecto lluvia y secador de pelo profesional. Hay WiFi gratuita.

El spa está disponible por un suplemento. El acceso al gimnasio es gratuito. El servicio de habitaciones está disponible las 24 horas.

Este alojamiento sirve un desayuno buffet Antiox saludable, que incluye platos antioxidantes elaborados con ingredientes ecológicos.

El hotel se encuentra a 15 minutos a pie del estadio Camp Nou del FC Barcelona. La estación de metro María Cristina está situada a 10 minutos a pie y conecta con el centro de exposiciones Fira en menos de 10 minutos."
Acta CITY47,"8,3","a 2,4 km del centro",,€ 504,https://www.booking.com/hotel/es/citypark.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=9004515_138954531_0_2_0&highlighted_blocks=9004515_138954531_0_2_0&matching_block_id=9004515_138954531_0_2_0&sr_pri_blocks=9004515_138954531_0_2_0__50358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El Acta CITY47 está situado en Barcelona, a 5 minutos a pie de la estación de tren de Sants y a 15 minutos del centro de exposiciones Fira. Tiene recepción 24 horas y habitaciones con aire acondicionado y WiFi gratuita.

Las habitaciones del Acta CITY47 presentan una decoración sencilla y moderna y disponen de baño privado, TV, escritorio y caja fuerte de uso gratuito. Los huéspedes pueden utilizar de forma gratuita la sala de planchado, abierta las 24 horas.

El moderno restaurante del hotel, el Nass City, sirve comida internacional y un desayuno sin gluten disponible bajo petición previa. También hay un bar donde se puede tomar un aperitivo o una bebida.

El Acta CITY47 está a 20 minutos a pie del estadio Camp Nou del FC Barcelona. La estación de metro de Sants enlaza con el centro de Barcelona en 15 minutos."
Hotel Derby,"7,6","a 2,4 km del centro",,€ 400,https://www.booking.com/hotel/es/derby.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=9004002_0_2_0_0&highlighted_blocks=9004002_0_2_0_0&matching_block_id=9004002_0_2_0_0&sr_pri_blocks=9004002_0_2_0_0__40001&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,4 de 5,"El Derby está situado a 300 metros del centro comercial L'Illa Diagonal y a 20 minutos a pie del estadio Camp Nou del FC Barcelona. Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana vía satélite y conexión gratuita a internet.

El elegante Derby Hotel tiene una impresionante colección de arte catalán, incluidas obras de Miró y Tàpies. Las habitaciones presentan un diseño funcional y suelo de parquet. Todas incluyen caja fuerte y minibar.

El Hotel Derby alberga la pizzería italiana Santa Napoli y la coctelería Lima Bruja, de estilo peruano.

Los huéspedes pueden acceder al gimnasio y la piscina del Gran Derby Hotel, situado a solo 10 metros. La estación de metro Hospital Clínic está a 800 metros, mientras que la Feria de Muestras de la Plaza de España se encuentra a 20 minutos a pie."
Pension Alamar,"8,5",a 1 km del centro,,€ 280,https://www.booking.com/hotel/es/pension-alamar.es.html?label=gen173nr-1FCAEoggI46AdIClgEaEaIAQGYAQq4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4ApDa6a0GwAIB0gIkYWRlMTI0YTktZTMyYS00MzkzLTlhOWQtZmNmMGY2OTY5ODBi2AIF4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2024-02-09&checkout=2024-02-13&dest_id=-372490&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f5ea6fdf88f90022&srepoch=1706716484&all_sr_blocks=217979502_369913830_2_0_0&highlighted_blocks=217979502_369913830_2_0_0&matching_block_id=217979502_369913830_2_0_0&sr_pri_blocks=217979502_369913830_2_0_0__27965&from=searchresults#hotelTmpl,4 de 5,"Pension Alamar está muy bien situado en el barrio de Ciutat Vella, Barcelona, a 1,7 km de Platja de Sant Miquel, a 1,8 km de Platja del Somorrostro y a 1,8 km de Platja de la Barceloneta. El alojamiento se encuentra a 3 min a pie de Plaza Real, a 500 metros de Catedral de Barcelona y a 6 min a pie de Santa María del Mar. El alojamiento está a menos de 1 km del centro de la ciudad y a 1,7 km de Platja de Sant Sebastià.

Las habitaciones de este alojamiento tienen baño compartido y wifi gratis. Algunas habitaciones también disponen de balcón. En el hostal o pensión, todas las habitaciones tienen ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Museo Picasso, Palacio de la Música Catalana y Teatro Tívoli. El aeropuerto más cercano (Aeropuerto de Barcelona - El Prat) está a 12 km."
